0,1,2,3
-3.0811681747436523,-6.5993218421936035,1.0,1.0
-18.709430694580078,-1.8073679208755493,0.0,0.0
12.511850357055664,-8.706429481506348,1.0,1.0
9.237561225891113,-24.210861206054688,1.0,1.0
-5.415213584899902,14.810282707214355,0.0,0.0
1.2970707416534424,-14.915675163269043,1.0,1.0
-8.783105850219727,6.218580722808838,0.0,0.0
-7.3747239112854,6.429304599761963,0.0,0.0
-9.523077964782715,-10.80964469909668,1.0,1.0
-17.86003303527832,8.591266632080078,0.0,0.0
-10.24815559387207,-22.432344436645508,1.0,1.0
-1.9495089054107666,-10.820488929748535,1.0,1.0
12.668943405151367,-11.476801872253418,1.0,1.0
-3.3579328060150146,-11.005861282348633,1.0,1.0
20.636632919311523,-12.193573951721191,1.0,1.0
-0.9326051473617554,-23.671491622924805,1.0,1.0
-7.50116491317749,-8.613761901855469,1.0,1.0
17.973735809326172,2.678123950958252,1.0,1.0
17.142414093017578,7.893397331237793,1.0,1.0
10.274515151977539,6.639438629150391,1.0,1.0
24.24275779724121,8.017942428588867,1.0,1.0
-19.533754348754883,-11.391594886779785,1.0,0.0
-0.8661994934082031,13.190921783447266,0.0,0.0
11.575309753417969,-9.81737995147705,1.0,1.0
12.51957893371582,-18.891870498657227,1.0,1.0
-6.003737449645996,-1.2470929622650146,1.0,0.0
11.360485076904297,13.17570972442627,1.0,1.0
-13.969377517700195,-20.0167236328125,1.0,1.0
-7.379048824310303,-6.33057165145874,1.0,1.0
-18.875476837158203,12.855944633483887,0.0,0.0
2.0188515186309814,-16.581729888916016,1.0,1.0
-13.129095077514648,22.73039436340332,0.0,0.0
-7.888212203979492,-0.1322503685951233,0.0,0.0
19.989309310913086,-5.863823890686035,1.0,1.0
8.885814666748047,-7.040891647338867,1.0,1.0
-4.422109603881836,-17.19424057006836,1.0,1.0
12.524853706359863,-6.882996559143066,1.0,1.0
-10.078046798706055,6.9555792808532715,0.0,0.0
7.3245625495910645,-5.07136344909668,1.0,1.0
-3.5182433128356934,-26.129810333251953,1.0,1.0
-1.1627156734466553,-13.862689971923828,1.0,1.0
3.4839160442352295,17.11457633972168,0.0,0.0
-9.020758628845215,-22.202579498291016,1.0,1.0
-0.07937655597925186,-3.882911205291748,1.0,1.0
-21.08104705810547,-8.764469146728516,1.0,1.0
-19.454458236694336,10.101506233215332,0.0,0.0
18.005138397216797,15.774880409240723,1.0,1.0
-10.375082015991211,3.0837976932525635,0.0,0.0
28.17503547668457,-6.230860710144043,1.0,1.0
-3.7296903133392334,11.888617515563965,0.0,0.0
-3.3449184894561768,6.011614799499512,0.0,0.0
16.662616729736328,5.0496039390563965,1.0,1.0
-18.924163818359375,3.416254758834839,0.0,0.0
-18.127830505371094,-17.819236755371094,1.0,1.0
-13.411311149597168,-15.500844955444336,1.0,1.0
13.978859901428223,-9.177738189697266,1.0,1.0
27.129297256469727,2.4305715560913086,1.0,1.0
-20.94416046142578,11.743210792541504,0.0,0.0
21.00687599182129,11.229816436767578,1.0,1.0
28.798664093017578,4.417252063751221,1.0,1.0
10.708708763122559,-3.634378671646118,1.0,1.0
-17.358449935913086,10.180829048156738,0.0,0.0
0.07084733247756958,9.257136344909668,0.0,0.0
26.259601593017578,1.362593173980713,1.0,1.0
-7.764969348907471,-4.599931240081787,1.0,0.0
5.945102214813232,0.749313235282898,1.0,1.0
17.60193634033203,-0.8876231908798218,1.0,1.0
5.80676794052124,-0.55962073802948,1.0,1.0
18.55300521850586,18.938589096069336,1.0,1.0
-5.4210591316223145,15.974739074707031,0.0,0.0
-13.543705940246582,-10.26269245147705,1.0,1.0
22.13579559326172,9.959891319274902,1.0,1.0
5.156153678894043,9.202435493469238,1.0,1.0
2.3011112213134766,-23.231266021728516,1.0,1.0
19.698156356811523,-4.79067325592041,1.0,1.0
22.326251983642578,-8.630194664001465,1.0,1.0
-15.512933731079102,-4.448358535766602,1.0,1.0
-9.221970558166504,7.02935266494751,0.0,0.0
-16.212202072143555,-18.473419189453125,1.0,1.0
27.949514389038086,-2.1203253269195557,1.0,1.0
8.827555656433105,-23.540485382080078,1.0,1.0
20.508529663085938,-5.729989528656006,1.0,1.0
-19.971736907958984,3.559878349304199,0.0,0.0
-18.388261795043945,-6.003974914550781,1.0,1.0
16.637248992919922,2.1197006702423096,1.0,1.0
-6.967287063598633,-7.567624092102051,1.0,1.0
14.317686080932617,18.310514450073242,1.0,1.0
8.33081340789795,11.085358619689941,1.0,1.0
